2024-07-09T22:28:52.999+07:00Z&2203;v|85,24,18,24,32,0.00,"};&{"id": "c1151e2a","data": "ht120v|85,24,18,24,32,0.00,"}
2024-07-09T22:33:58.497+07:00Z&2203;v|85,24,18,25,31,0.00,"};
2024-07-09T22:33:58.510+07:00Z&2203;v|85,24,18,25,31,0.00,"};&{"id": "c1151e2a","data": "ht120v|85,24,18,25,31,0.00,"}
2024-07-09T22:39:03.994+07:00Z&2203;v|85,24,0,0,0,0.00,"};
2024-07-09T22:39:04.024+07:00Z&2203;v|85,24,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|85,24,0,0,0,0.00,"}
2024-07-09T22:44:09.515+07:00Z&2203;v|86,24,18,24,29,0.00,"};
2024-07-09T22:44:09.525+07:00Z&2203;v|86,24,18,24,29,0.00,"};&{"id": "c1151e2a","data": "ht120v|86,24,18,24,29,0.00,"}
2024-07-09T22:49:15.032+07:00Z&2203;v|87,24,18,25,31,0.00,"};
2024-07-09T22:49:15.043+07:00Z&2203;v|87,24,18,25,31,0.00,"};&{"id": "c1151e2a","data": "ht120v|87,24,18,25,31,0.00,"}
2024-07-09T22:54:20.516+07:00Z&2203;v|86,24,0,0,0,0.00,"};
2024-07-09T22:54:20.525+07:00Z&2203;v|86,24,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|86,24,0,0,0,0.00,"}
2024-07-09T22:59:26.029+07:00Z&2203;v|85,24,31,42,49,0.00,"};
2024-07-09T22:59:26.038+07:00Z&2203;v|85,24,31,42,49,0.00,"};&{"id": "c1151e2a","data": "ht120v|85,24,31,42,49,0.00,"}
2024-07-09T23:04:31.530+07:00Z&2203;v|85,24,29,40,47,0.00,"};
2024-07-09T23:04:31.539+07:00Z&2203;v|85,24,29,40,47,0.00,"};&{"id": "c1151e2a","data": "ht120v|85,24,29,40,47,0.00,"}
2024-07-09T23:09:37.033+07:00Z&2203;v|86,24,0,0,0,0.00,"};
