2023-04-06T13:19:24.336482,{"id": "bd950176","data": "va|9108.63"},-12,0b1111011 0b100010 0b1101001 0b1100100 0b100010 0b111010 0b100000 0b100010 0b1100010 0b1100100 0b111001 0b110101 0b110000 0b110001 0b110111 0b110110 0b100010 0b101100 0b100010 0b1100100 0b1100001 0b1110100 0b1100001 0b100010 0b111010 0b100000 0b100010 0b1110110 0b1100001 0b1111100 0b111001 0b110001 0b110000 0b111000 0b101110 0b110110 0b110011 0b100010 0b1111101 0b1101 0b1010 
2023-04-06T13:19:26.340811,{"id": "bd950176","data": "va|9108.63"},-12,0b1111011 0b100010 0b1101001 0b1100100 0b100010 0b111010 0b100000 0b100010 0b1100010 0b1100100 0b111001 0b110101 0b110000 0b110001 0b110111 0b110110 0b100010 0b101100 0b100010 0b1100100 0b1100001 0b1110100 0b1100001 0b100010 0b111010 0b100000 0b100010 0b1110110 0b1100001 0b1111100 0b111001 0b110001 0b110000 0b111000 0b101110 0b110110 0b110011 0b100010 0b1111101 0b1101 0b1010 
2023-04-06T13:19:28.345097,{"id": "bd950176","data": "va|9108.63"},-13,0b1111011 0b100010 0b1101001 0b1100100 0b100010 0b111010 0b100000 0b100010 0b1100010 0b1100100 0b111001 0b110101 0b110000 0b110001 0b110111 0b110110 0b100010 0b101100 0b100010 0b1100100 0b1100001 0b1110100 0b1100001 0b100010 0b111010 0b100000 0b100010 0b1110110 0b1100001 0b1111100 0b111001 0b110001 0b110000 0b111000 0b101110 0b110110 0b110011 0b100010 0b1111101 0b1101 0b1010 
2023-04-06T13:19:30.349424,{"id": "bd950176","data": "va|9108.63"},-9,0b1111011 0b100010 0b1101001 0b1100100 0b100010 0b111010 0b100000 0b100010 0b1100010 0b1100100 0b111001 0b110101 0b110000 0b110001 0b110111 0b110110 0b100010 0b101100 0b100010 0b1100100 0b1100001 0b1110100 0b1100001 0b100010 0b111010 0b100000 0b100010 0b1110110 0b1100001 0b1111100 0b111001 0b110001 0b110000 0b111000 0b101110 0b110110 0b110011 0b100010 0b1111101 0b1101 0b1010 
2023-04-06T13:19:32.353818,{"id": "bd950176","data": "va|9107.93"},-31,0b1111011 0b100010 0b1101001 0b1100100 0b100010 0b111010 0b100000 0b100010 0b1100010 0b1100100 0b111001 0b110101 0b110000 0b110001 0b110111 0b110110 0b100010 0b101100 0b100010 0b1100100 0b1100001 0b1110100 0b1100001 0b100010 0b111010 0b100000 0b100010 0b1110110 0b1100001 0b1111100 0b111001 0b110001 0b110000 0b110111 0b101110 0b111001 0b110011 0b100010 0b1111101 0b1101 0b1010 
2023-04-06T13:58:53.648724,{"id": "bd950176","data": "va|9109.34"},-33,0b1111011 0b100010 0b1101001 0b1100100 0b100010 0b111010 0b100000 0b100010 0b1100010 0b1100100 0b111001 0b110101 0b110000 0b110001 0b110111 0b110110 0b100010 0b101100 0b100010 0b1100100 0b1100001 0b1110100 0b1100001 0b100010 0b111010 0b100000 0b100010 0b1110110 0b1100001 0b1111100 0b111001 0b110001 0b110000 0b111001 0b101110 0b110011 0b110100 0b100010 0b1111101 0b1101 0b1010 
2023-04-06T13:58:56.655291,{"id": "bd950176","data": "va|9111.09"},-34,0b1111011 0b100010 0b1101001 0b1100100 0b100010 0b111010 0b100000 0b100010 0b1100010 0b1100100 0b111001 0b110101 0b110000 0b110001 0b110111 0b110110 0b100010 0b101100 0b100010 0b1100100 0b1100001 0b1110100 0b1100001 0b100010 0b111010 0b100000 0b100010 0b1110110 0b1100001 0b1111100 0b111001 0b110001 0b110001 0b110001 0b101110 0b110000 0b111001 0b100010 0b1111101 0b1101 0b1010 
2023-04-06T13:59:01.666616,{"id": "bd950176","data": "va|9107.93"},-31,0b1111011 0b100010 0b1101001 0b1100100 0b100010 0b111010 0b100000 0b100010 0b1100010 0b1100100 0b111001 0b110101 0b110000 0b110001 0b110111 0b110110 0b100010 0b101100 0b100010 0b1100100 0b1100001 0b1110100 0b1100001 0b100010 0b111010 0b100000 0b100010 0b1110110 0b1100001 0b1111100 0b111001 0b110001 0b110000 0b110111 0b101110 0b111001 0b110011 0b100010 0b1111101 0b1101 0b1010 
2023-04-06T13:59:14.695106,{"id": "bd950176","data": "va|9110.74"},-35,0b1111011 0b100010 0b1101001 0b1100100 0b100010 0b111010 0b100000 0b100010 0b1100010 0b1100100 0b111001 0b110101 0b110000 0b110001 0b110111 0b110110 0b100010 0b101100 0b100010 0b1100100 0b1100001 0b1110100 0b1100001 0b100010 0b111010 0b100000 0b100010 0b1110110 0b1100001 0b1111100 0b111001 0b110001 0b110001 0b110000 0b101110 0b110111 0b110100 0b100010 0b1111101 0b1101 0b1010 
2023-04-06T13:59:31.732861,{"id": "bd950176","data": "va|9110.04"},-35,0b1111011 0b100010 0b1101001 0b1100100 0b100010 0b111010 0b100000 0b100010 0b1100010 0b1100100 0b111001 0b110101 0b110000 0b110001 0b110111 0b110110 0b100010 0b101100 0b100010 0b1100100 0b1100001 0b1110100 0b1100001 0b100010 0b111010 0b100000 0b100010 0b1110110 0b1100001 0b1111100 0b111001 0b110001 0b110001 0b110000 0b101110 0b110000 0b110100 0b100010 0b1111101 0b1101 0b1010 
