timestamp,message
Timestamp,Message
13:25:18,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,47,61,71,271,0.53,""}"
13:25:19,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,47,60,70,268,0.53,""}"
13:25:21,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,47,60,70,269,0.53,""}"
13:25:22,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,47,60,70,270,0.53,""}"
13:25:23,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,47,60,70,269,0.53,""}"
13:25:25,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,47,60,70,269,0.51,""}"
13:25:26,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,47,60,70,269,0.53,""}"
13:25:27,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,47,60,70,268,0.53,""}"
13:25:28,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,47,60,70,269,0.55,""}"
13:25:30,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,47,60,70,269,0.53,""}"
13:25:31,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,45,58,67,268,0.66,""}"
13:25:32,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,45,58,67,269,0.55,""}"
13:25:33,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,45,58,67,269,0.53,""}"
13:25:35,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,45,58,67,272,0.53,""}"
13:25:36,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,45,58,67,272,0.57,""}"
13:25:37,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,45,58,67,269,0.53,""}"
13:25:38,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,45,58,67,269,0.55,""}"
13:25:40,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,45,58,67,269,0.55,""}"
13:25:41,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,45,58,67,269,0.55,""}"
13:25:42,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,45,58,67,269,0.55,""}"
13:25:44,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,45,58,67,268,0.55,""}"
13:25:45,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,45,58,67,269,0.53,""}"
13:25:46,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,45,58,67,270,0.55,""}"
13:25:47,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,45,58,67,270,0.55,""}"
13:25:49,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,45,58,67,269,0.53,""}"
13:25:50,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,45,58,67,269,0.55,""}"
13:25:51,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,45,58,68,269,0.55,""}"
13:25:52,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,45,59,68,270,0.53,""}"
13:25:54,78d7fb2f-84af-439b-86d3-48e62cd54f03
13:25:54,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,45,59,68,313,0.55,""}"
13:25:55,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,45,59,68,336,0.55,""}"
13:25:56,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,46,59,68,336,0.53,""}"
13:25:57,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,45,59,68,336,0.57,""}"
13:25:59,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,45,59,68,336,0.55,""}"
13:26:0,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,45,59,68,336,0.55,""}"
13:26:1,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,46,59,69,336,0.55,""}"
13:26:3,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,46,59,69,336,0.53,""}"
13:26:4,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,46,59,69,336,0.53,""}"
13:26:5,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,46,59,69,337,0.55,""}"
13:26:6,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,46,59,69,336,0.51,""}"
13:26:8,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,46,59,70,336,0.55,""}"
13:26:9,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,46,59,70,336,0.53,""}"
13:26:10,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,46,59,70,336,0.55,""}"
13:26:11,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,46,59,70,338,0.53,""}"
13:26:13,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,48,63,74,336,0.55,""}"
13:26:14,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,51,66,76,336,0.55,""}"
13:26:15,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,51,66,77,336,0.55,""}"
13:26:16,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,51,66,77,336,0.55,""}"
13:26:18,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,51,66,77,336,0.53,""}"
13:26:19,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,51,66,77,336,0.53,""}"
13:26:20,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,51,66,77,336,0.55,""}"
13:26:22,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,36,51,66,77,336,0.55,""}"
13:26:23,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,36,51,66,77,336,0.55,""}"
13:26:24,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,36,51,66,77,336,0.55,""}"
13:26:25,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,36,51,66,77,336,0.55,""}"
13:26:27,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,36,51,66,77,336,0.53,""}"
13:26:28,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,36,51,66,77,337,0.55,""}"
13:26:29,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,36,49,62,75,336,0.53,""}"
13:26:30,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,36,48,62,74,336,0.60,""}"
13:26:32,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,36,48,62,73,336,0.60,""}"
13:26:33,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,36,48,62,73,336,0.55,""}"
13:26:34,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,36,48,62,73,336,0.55,""}"
13:26:35,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,36,47,61,73,336,0.55,""}"
13:26:37,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,47,61,73,336,0.53,""}"
13:26:38,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,47,61,73,336,0.57,""}"
13:26:39,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,47,61,73,336,0.49,""}"
13:26:40,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,47,61,72,336,0.55,""}"
13:26:42,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,47,61,72,336,0.55,""}"
13:26:43,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,47,61,72,0,0.55,""}"
13:26:44,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,47,61,72,0,0.55,""}"
13:26:46,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,47,61,72,3,0.55,""}"
13:26:47,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,36,48,62,73,0,0.51,""}"
13:26:48,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,36,48,62,73,0,0.55,""}"
13:26:49,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,48,62,74,0,0.53,""}"
13:26:51,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,48,62,74,0,0.53,""}"
13:26:52,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,48,62,74,0,0.55,""}"
13:26:53,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,48,62,74,0,0.57,""}"
13:26:54,78d7fb2f-84af-439b-86d3-48e62cd54f03
13:26:54,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,48,62,74,1,0.57,""}"
13:26:56,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,48,62,74,0,0.55,""}"
13:26:57,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,48,62,74,0,0.55,""}"
13:26:58,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,48,62,74,0,0.55,""}"
13:26:59,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,48,62,74,0,0.55,""}"
13:27:1,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,48,62,74,0,0.55,""}"
13:27:2,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,48,62,74,0,0.55,""}"
13:27:3,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,48,62,74,0,0.55,""}"
13:27:4,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,49,63,75,0,0.55,""}"
13:27:6,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,50,64,75,0,0.60,""}"
13:27:7,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,50,64,75,0,0.55,""}"
13:27:8,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,50,64,75,2,0.53,""}"
13:27:9,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,50,64,75,0,0.60,""}"
13:27:11,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,50,64,75,0,0.55,""}"
13:27:12,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,50,64,75,0,0.55,""}"
13:27:13,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,50,64,75,0,0.55,""}"
13:27:14,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,50,64,82,0,0.55,""}"
13:27:16,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,50,64,82,0,0.55,""}"
13:27:17,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,50,64,81,0,0.55,""}"
13:27:18,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,50,64,81,0,0.60,""}"
13:27:20,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,50,64,81,0,0.55,""}"
